Review_id,Ratings,Dates,Date_Category,Heads,Texts,Flavor,Sweet,Lasting
1,5.0,15 hours,Less than 2 months,Great vape!,Great vape!,5.0,5.0,5.0
2,5.0,24 days,Less than 2 months,Good,Good,5.0,5.0,5.0
3,5.0,25 days,Less than 2 months,Nic5 6000,"Very tasty, I love the flavor",5.0,5.0,5.0
4,4.0,1 month,Less than 2 months,Long lasting but taste changes as progress,Long lasting but gets pretty harsh after a charge,4.0,3.0,3.0
5,5.0,2 months,Less than 2 months,Good quality,Good flavor and battery life,4.0,4.0,4.0
6,5.0,2 months,Less than 2 months,Good,Good flavors,5.0,5.0,4.0
7,5.0,2 months,Less than 2 months,Decent vape,Decent,3.0,3.0,3.0
8,5.0,2 months,Less than 2 months,Perfect,My favorite brand,4.0,3.0,5.0
9,5.0,2 months,Less than 2 months,Good first impression.,"First time using this brand. I liked the flavors I got... peach mango icy and aloe mango. Not, super sweet which is how a prefer",5.0,3.0,5.0
10,5.0,2 months,Less than 2 months,Great Vape,This is by far my favorite,5.0,3.0,5.0
11,5.0,2 months,Less than 2 months,Will buy again,"Nice compact design. Good, smooth draw and good flavor. I use a lot and it lasts me several days but like others, not so bueno after third charge.",5.0,5.0,5.0
12,4.0,2 months,Less than 2 months,Better,This one is better than the others I have tried so far. Flavor is long lasting. Its a little brighter but thats ok. I like the 6K puffs. Good vape.,5.0,4.0,5.0
13,5.0,2 months,Less than 2 months,Great,Tastes good and lasts a long time.,5.0,5.0,5.0
14,4.0,3 months,3 months to 5 months ago,Good flavor,Good flavor,4.0,3.0,4.0
15,5.0,3 months,3 months to 5 months ago,first time,not that bad. I would order again.,4.0,5.0,4.0
16,5.0,3 months,3 months to 5 months ago,Peach mango icy,One of my d free Amorite out of my order. Flavors blend together nicely,5.0,5.0,5.0
17,4.0,3 months,3 months to 5 months ago,Nic5,Good flavor but the draw is a little tight compared to most disposable in my opinion.,4.0,3.0,4.0
18,4.0,3 months,3 months to 5 months ago,Good Flavor,The Blueberry Lemon Icy is decent.. I don’t know if I would order that flavor again but overall vibe is good,4.0,4.0,4.0
19,5.0,3 months,3 months to 5 months ago,Love it!,"Hits great, fits nicely in your pocket, good hit and great flavor",5.0,4.0,5.0
20,4.0,3 months,3 months to 5 months ago,6000,This is a long lasting vape. Love the shape,5.0,4.0,4.0
21,5.0,3 months,3 months to 5 months ago,Super happy Nic5 has rechargeable vapes now,"One of my new favorites, prefer these flavors over the Flum flavors. Really yummy and last much longer the the Nic5 non-rechargeable ones. Really sleek feel and I love how flat it is for my pockets. 10/10 would recommend.",5.0,4.0,5.0
22,5.0,3 months,3 months to 5 months ago,Icy Blast,Perfect taste,5.0,5.0,5.0
23,5.0,3 months,3 months to 5 months ago,Awesome,"Great flavor, long lasting battery. Slim design",5.0,3.0,5.0
24,5.0,3 months,3 months to 5 months ago,First time tryin,Good flavor lasts awhile,5.0,5.0,5.0
25,5.0,3 months,3 months to 5 months ago,Nic5,👍 good,4.0,4.0,4.0
26,4.0,4 months,3 months to 5 months ago,Alright,Comparing to elf bar battery life is not up to par and gets very minty after a few days.,3.0,3.0,3.0
27,5.0,4 months,3 months to 5 months ago,White gummy,White gummy is straight pineapple finally someone gets it right!,5.0,5.0,3.0
28,5.0,4 months,3 months to 5 months ago,Great,Good flavor and hits good,5.0,4.0,5.0
29,5.0,4 months,3 months to 5 months ago,My new favorite!,"Good flavor, long lasting!",5.0,5.0,5.0
30,4.0,4 months,3 months to 5 months ago,Solid device,"Good hits, flavor is not exactly my preference but definitely good. I just prefer more spearmint flavor",4.0,1.0,4.0
31,1.0,4 months,3 months to 5 months ago,Nic5 Vapor 6000,I just think the flavor wasn't for me.,1.0,3.0,3.0
32,5.0,4 months,3 months to 5 months ago,Not too sweet,This vape has a good taste without being sweet or juicy.,5.0,3.0,5.0
33,5.0,4 months,3 months to 5 months ago,Good,a delicious taste,5.0,5.0,5.0
34,5.0,4 months,3 months to 5 months ago,White gunmy,Reminds me of jamba,4.0,4.0,4.0
35,5.0,4 months,3 months to 5 months ago,Buy again,"Very good,long lasting",5.0,3.0,5.0
36,5.0,4 months,3 months to 5 months ago,Great product,It was great,5.0,5.0,5.0
37,5.0,4 months,3 months to 5 months ago,Yum on the nic5,One of my favorites,5.0,4.0,4.0
38,5.0,4 months,3 months to 5 months ago,Love it,"Great flavor, quality container, lasts long, I love the overall quality of Nic5 vapes. My go to now.",5.0,5.0,5.0
39,5.0,5 months,5 months to 1 year ago,Solid,Solid flavor. A tad sweet. Battery could be better. Overall a solid device. Would buy again,5.0,4.0,3.0
40,5.0,5 months,5 months to 1 year ago,Smooth flavors,I loved it very smooth flavor and the battery is last longer.. recommended to you,5.0,3.0,5.0
41,5.0,5 months,5 months to 1 year ago,Good flavor,"So far I like it, the flavor last almost the end.",5.0,3.0,5.0
42,5.0,5 months,5 months to 1 year ago,Aloe mango flavor,I actually thought that the aloe mango flavor was pretty good!,5.0,5.0,5.0
